S. No.,Title,Links,Website
28,Get Desktop Notifications with Python,https://thecleverprogrammer.com/2021/01/07/desktop-notification-with-python/,Clever Programmer
29,Handwriting Recognition with Python,https://thecleverprogrammer.com/2020/10/10/handwriting-recognition-with-python/,Clever Programmer
30,Hearing aids for Impaired People using MATLAB,https://www.geeksforgeeks.org/digital-image-processing-algorithms-using-matlab/,Geeks for Geeks
31,Hotel Recommendation System Based on Hybrid Recommendation Model,https://nevonprojects.com/hotel-recommendation-system-based-on-hybrid-recommendation-model/,Nevon Projects
32,How to Build a Cryptocurrency Tracker Android App?,https://www.geeksforgeeks.org/how-to-build-a-cryptocurrency-tracker-android-app/,Geeks for Geeks
33,How to Run Python Flask App Online using Ngrok?,https://www.geeksforgeeks.org/how-to-run-python-flask-app-online-using-ngrok/,Geeks for Geeks
34,Human Activity Recognition – Using Deep Learning Model,https://www.geeksforgeeks.org/human-activity-recognition-using-deep-learning-model/,Geeks for Geeks
35,Information Entropy using MATLAB,https://www.geeksforgeeks.org/information-entropy-using-matlab/,Geeks for Geeks
36,IPL Score Prediction using Deep Learning,https://www.geeksforgeeks.org/ipl-score-prediction-using-deep-learning/,Geeks for Geeks
37,Linear Convolution using C and MATLAB,https://www.geeksforgeeks.org/linear-convolution-using-c-and-matlab/,Geeks for Geeks
38,Movie Success Prediction Using Data Mining Php,https://nevonprojects.com/movie-success-prediction-using-data-mining-php/,Nevon Projects
39,"Multi-Messenger : A python project, messaging via Terminal",https://www.geeksforgeeks.org/multi-messenger-python-project-messaging-via-terminal/,Geeks for Geeks
40,Natural Language Processing (NLP) on WhatsApp Chats,https://thecleverprogrammer.com/2020/07/16/nlp-for-whatsapp-chats/,Clever Programmer
41,OpenAI Gym in Machine Learning,https://thecleverprogrammer.com/2020/07/26/openai-gym-in-machine-learning/,Clever Programmer
42,Personal Voice Assistant in Python,https://www.geeksforgeeks.org/personal-voice-assistant-in-python/,Geeks for Geeks
43,Personality Prediction System Through CV Analysis,https://nevonprojects.com/personality-prediction-system-through-cv-analysis/,Nevon Projects
44,Personalized Task Manager in Python,https://www.geeksforgeeks.org/personalized-task-manager-in-python/,Geeks for Geeks
45,Rainfall Prediction with Machine Learning,https://thecleverprogrammer.com/2020/09/11/rainfall-prediction-with-machine-learning/,Clever Programmer
46,Read Me My Book App,https://nevonprojects.com/read-me-my-book-app/,Nevon Projects
47,Real Estate Search Based On Data Mining,https://nevonprojects.com/real-estate-search-based-on-data-mining/,Nevon Projects
48,Real-time Gender Detection using Python,https://thecleverprogrammer.com/2021/06/18/real-time-gender-detection-using-python/,Clever Programmer
49,Restaurant Review Analysis Using NLP and SQLite,https://www.geeksforgeeks.org/restaurant-review-analysis-using-nlp-and-sqlite/,Geeks for Geeks
50,Smart Health Prediction Using Data Mining,https://nevonprojects.com/smart-health-prediction-using-data-mining/,Nevon Projects
51,Teachers Automatic Time-Table Software Generation System using PHP,https://nevonprojects.com/teachers-automatic-time-table-software-generation-system-using-php/,Nevon Projects
52,Text Editor GUI in Python,https://thecleverprogrammer.com/2020/09/25/text-editor-gui-with-python/,Clever Programmer
53,Transformer Conversational Chatbot in Python using TensorFlow,https://nevonprojects.com/transformer-conversational-chatbot-in-python-using-tensorflow-2-0/,Nevon Projects
54,Tumor Detection using classification – Machine Learning and Python,https://www.geeksforgeeks.org/tumor-detection-using-classification-machine-learning-and-python/,Geeks for Geeks
55,TV Show Popularity Analysis Using Data Mining,https://nevonprojects.com/tv-show-popularity-analysis-using-data-mining/,Nevon Projects
56,Twitter Sentiment Analysis WebApp Using Flask,https://www.geeksforgeeks.org/twitter-sentiment-analysis-webapp-using-flask/,Geeks for Geeks
57,Visiting Card Scanner GUI Application using Python,https://www.geeksforgeeks.org/visiting-card-scanner-gui-application-using-python/,Geeks for Geeks
58,Voting System Project Using Django Framework,https://www.geeksforgeeks.org/voting-system-project-using-django-framework/,Geeks for Geeks
59,Weather app using Django | Python,https://www.geeksforgeeks.org/weather-app-using-django-python/,Geeks for Geeks
60,Web Scrapper with Python,https://thecleverprogrammer.com/2020/10/01/web-scraper-with-python/,Clever Programmer
